CLIENTE,MES,ANIO,MONTO,Tipo_Moneda,Tipo_Cambio,,,,,,,,,,,,,,,,,,,,,,
LAMTEC,12,2022," $77,841.03 ",MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
RIEKE,1,2022," $438,530.52 ",MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
RIEKE,2,2022," $102,224.00 ",MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
RIEKE,3,2022," $47,182.10 ",MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
RIEKE,4,2022," $53,549.80 ",MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
RIEKE,5,2022,,MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
RIEKE,6,2022," $25,965.00 ",MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
RIEKE,7,2022," $34,882.00 ",MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
RIEKE,8,2022," $58,396.00 ",MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
RIEKE,9,2022," $3,967.80 ",MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
RIEKE,10,2022," $30,696.00 ",MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
RIEKE,11,2022,,MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
RIEKE,12,2022," $9,860.00 ",MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
NASG,1,2022," $6,610.00 ",MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
NASG,2,2022,,MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
NASG,3,2022,,MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
NASG,4,2022,,MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
NASG,5,2022,,MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
NASG,6,2022," $198,863.00 ",MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
NASG,7,2022," $16,842.50 ",MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
NASG,8,2022,,MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
NASG,9,2022," $9,221.00 ",MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
NASG,10,2022," $461,258.26 ",MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
NASG,11,2022," $38,724.10 ",MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
NASG,12,2022,,MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
META TOOL,1,2022,,MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
META TOOL,2,2022,,MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
META TOOL,3,2022,,MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
META TOOL,4,2022,,MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
META TOOL,5,2022,,MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
META TOOL,6,2022," $95,795.43 ",MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
META TOOL,7,2022," $136,141.50 ",MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
META TOOL,8,2022," $165,874.14 ",MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
META TOOL,9,2022,,MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
META TOOL,10,2022,,MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
META TOOL,11,2022,,MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
META TOOL,12,2022," $156,681.70 ",MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
IRUÑA,1,2022,,MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
IRUÑA,2,2022,,MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
IRUÑA,3,2022,,MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
IRUÑA,4,2022,,MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
IRUÑA,5,2022," $325,499.02 ",MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
IRUÑA,6,2022," $21,180.00 ",MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
IRUÑA,7,2022," $10,625.00 ",MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
IRUÑA,8,2022," $177,908.90 ",MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
IRUÑA,9,2022,,MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
IRUÑA,10,2022,,MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
IRUÑA,11,2022,,MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
IRUÑA,12,2022,,MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
MAGNA,1,2022," $113,066.88 ",MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
MAGNA,2,2022," $21,112.00 ",MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
MAGNA,3,2022," $7,160.05 ",MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
MAGNA,4,2022," $35,750.00 ",MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
MAGNA,5,2022," $132,435.00 ",MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
MAGNA,6,2022, $692.28 ,MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
MAGNA,7,2022,,MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
MAGNA,8,2022,,MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
MAGNA,9,2022,,MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
MAGNA,10,2022," $55,391.12 ",MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
MAGNA,11,2022,,MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
MAGNA,12,2022," $149,469.42 ",MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
NOVA,1,2022,,MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
NOVA,2,2022,,MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
NOVA,3,2022," $5,900.00 ",MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
NOVA,4,2022," $12,300.00 ",MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
NOVA,5,2022,,MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
NOVA,6,2022," $29,040.00 ",MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
NOVA,7,2022,,MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
NOVA,8,2022," $269,080.00 ",MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
NOVA,9,2022," $5,900.00 ",MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
NOVA,10,2022,,MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
NOVA,11,2022," $29,040.00 ",MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
NOVA,12,2022," $29,040.00 ",MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
BATESVILLE,1,2022," $4,000.00 ",MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
BATESVILLE,2,2022," $5,118.75 ",MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
BATESVILLE,3,2022," $20,237.50 ",MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
BATESVILLE,4,2022," $45,143.00 ",MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
BATESVILLE,5,2022," $7,020.00 ",MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
BATESVILLE,6,2022," $24,804.50 ",MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
BATESVILLE,7,2022," $22,460.00 ",MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
BATESVILLE,8,2022," $61,867.50 ",MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
BATESVILLE,9,2022," $43,149.75 ",MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
BATESVILLE,10,2022," $49,860.00 ",MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
BATESVILLE,11,2022," $23,099.39 ",MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
BATESVILLE,12,2022," $22,560.00 ",MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
KH,1,2022,,MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
KH,2,2022,,MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
KH,3,2022," $17,310.00 ",MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
KH,4,2022,,MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
KH,5,2022," $28,480.00 ",MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
KH,6,2022," $52,080.00 ",MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
KH,7,2022," $26,750.00 ",MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
KH,8,2022," $85,660.50 ",MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
KH,9,2022," $16,805.00 ",MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
KH,10,2022," $13,447.20 ",MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
KH,11,2022," $5,889.40 ",MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
KH,12,2022," $43,620.00 ",MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
GUALA,1,2022," $66,575.00 ",MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
GUALA,2,2022,,MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
GUALA,3,2022,,MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
GUALA,4,2022,,MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
GUALA,5,2022,,MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
GUALA,6,2022,,MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
GUALA,7,2022,,MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
GUALA,8,2022,,MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
GUALA,9,2022," $82,119.30 ",MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
GUALA,10,2022,,MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
GUALA,11,2022," $79,050.00 ",MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
GUALA,12,2022,,MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
KTMEX,1,2022," $22,870.00 ",MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
KTMEX,2,2022,,MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
KTMEX,3,2022," $13,098.50 ",MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
KTMEX,4,2022," $50,923.70 ",MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
KTMEX,5,2022," $22,212.00 ",MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
KTMEX,6,2022," $11,140.00 ",MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
